asadabad af/asadabad/4494
baghlan af/baghlan/2239
bamyan af/bamyan/2285
farah af/farah/3651
fayzabad af/fayzabad/2149
ghazni af/ghazni/3801
herat af/herat/4013
jalalabad af/jalalabad/5504
kabul af/kabul/4361
kandahar af/kandahar/4366
kunduz af/kunduz/4530
lashkar-gah af/lashkar-gah/3931
maymana af/maymana/3716
mazar-i-sharif af/mazar-i-sharif/2244
qala-i-naw af/qala-i-naw/2185
sar-e-pul af/sar-e-pul/2252
sheberghan af/sheberghan/4306
taloqan af/taloqan/6315
teyvareh af/teyvareh/3840
teyvareh af/teyvareh/3847
abovyan am/abovyan/9469
akhuryan am/akhuryan/11895
alaverdi am/alaverdi/9758
ararat am/ararat/6954
armavir am/armavir/6977
artashat am/artashat/6953
artik am/artik/11893
ashtarak am/ashtarak/6934
charentsavan am/charentsavan/12263
charentsavan am/charentsavan/2311114
dilijan am/dilijan/11632
ejmiatsin am/ejmiatsin/12005
gavar am/gavar/9289
gyumri am/gyumri/16923
hrazdan am/hrazdan/12269
ijevan am/ijevan/11615
kadzharan am/kadzharan/11590
kapan am/kapan/11585
vanadzor am/vanadzor/12308
yerevan am/yerevan/16890
agcabadi az/agcabadi/26935
agdam az/agdam/26923
agstafa az/agstafa/26938
agsu az/agsu/26947
baku az/baku/27103
balakon az/balakon/27104
barda az/barda/27107
calilabad az/calilabad/28825
danizkanari az/danizkanari/27080
fuzuli az/fuzuli/28160
ganca az/ganca/28166
lankaran az/lankaran/29090
mingechaur az/mingechaur/29699
naxcivan az/naxcivan/30012
oguz az/oguz/30333
stepan-razin az/stepan-razin/27086
sumqayit az/sumqayit/26921
surakhany az/surakhany/27082
suraxani az/suraxani/26946
xirdalan az/xirdalan/26914
barisal bd/barisal/27110
bhairab-bazar bd/bhairab-bazar/27862
bogra bd/bogra/30530
brahmanbaria bd/brahmanbaria/27615
chandpur bd/chandpur/27613
chittagong bd/chittagong/27822
chuadanga bd/chuadanga/28967
comilla bd/comilla/27618
dhaka bd/dhaka/28143
hathazari-upazila bd/hathazari-upazila/27616
khulna bd/khulna/29075
narayanganj bd/narayanganj/28144
narsingdi bd/narsingdi/27866
rajshahi bd/rajshahi/30529
rangpur bd/rangpur/30537
sherpur bd/sherpur/27867
sirajganj bd/sirajganj/30539
sylhet bd/sylhet/30917
tangail bd/tangail/27868
tongi bd/tongi/27869
badas bn/badas/43084
bandar-seri-begawan bn/bandar-seri-begawan/43196
bangar bn/bangar/46383
kampong-benutan bn/kampong-benutan/46572
kampong-jerudong bn/kampong-jerudong/43197
kampong-layong bn/kampong-layong/46573
kampong-lepong bn/kampong-lepong/46384
kampong-lilas bn/kampong-lilas/1128344
kampong-limau-manis bn/kampong-limau-manis/1128343
kampong-limpas bn/kampong-limpas/1128342
kilanas bn/kilanas/43199
kuala-balai bn/kuala-balai/43083
kuala-belait bn/kuala-belait/43081
labi bn/labi/43085
labu bn/labu/46385
lumut bn/lumut/43086
muara bn/muara/43200
pekan-tutong bn/pekan-tutong/46571
seria bn/seria/43082
sukang bn/sukang/43087
chemaito bt/chemaito/361406
dewangiri bt/dewangiri/360500
dhur bt/dhur/357060
kangpar bt/kangpar/361349
khenpa-dzong bt/khenpa-dzong/360251
lamti bt/lamti/361373
lhuntse bt/lhuntse/360250
mebisa bt/mebisa/357091
mongar bt/mongar/360329
nimgong bt/nimgong/361288
paro bt/paro/360445
pemagatsel bt/pemagatsel/360448
punakha bt/punakha/360459
sawang bt/sawang/360252
sengor bt/sengor/361289
shemgang bt/shemgang/361290
tangsebi bt/tangsebi/361372
thimphu bt/thimphu/361353
trongsa bt/trongsa/361370
wangdue-phodrang bt/wangdue-phodrang/361400
beijing cn/beijing/101924
changde cn/changde/59414
changsha cn/changsha/105567
chenzhou cn/chenzhou/59415
dali-prefecture cn/dali-prefecture/61417
hanzhong cn/hanzhong/60453
honghe-prefecture cn/honghe-prefecture/61439
kunming cn/kunming/106812
lanzhou cn/lanzhou/102246
nanchang cn/nanchang/105850
qujing cn/qujing/61412
shiyan cn/shiyan/59271
urumqi cn/urumqi/106833
